District,Department,Programme,Output class,Output,Item,Approved Budget for FY 2017/18 Total,Approved Budget Estimates for FY 2018/19 Wage,Approved Budget Estimates for FY 2018/19 Non Wage,Approved Budget Estimates for FY 2018/19 Gou Dev,Approved Budget Estimates for FY 2018/19 Donor,Approved Budget Estimates for FY 2018/19 Total
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138101 Operation of the Administration Department ,211101 General Staff Salaries,"170,868","185,411",0,0,0,"185,411"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138101 Operation of the Administration Department ,211103 Allowances,"3,152",0,"4,000",0,0,"4,000"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138101 Operation of the Administration Department ,211104 Statutory salaries,"4,742",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138101 Operation of the Administration Department ,212102 Pension for General Civil Service,"44,624",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138101 Operation of the Administration Department ,212105 Pension for Local Governments,0,0,"46,275",0,0,"46,275"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138101 Operation of the Administration Department ,212107 Gratuity for Local Governments,"34,579",0,"49,544",0,0,"49,544"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138101 Operation of the Administration Department ,221014 Bank Charges and other Bank related costs,"1,102",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138101 Operation of the Administration Department ,222001 Telecommunications,"1,400",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138101 Operation of the Administration Department ,"227004 Fuel, Lubricants and Oils","4,800",0,"3,946",0,0,"3,946"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138101 Operation of the Administration Department ,228002 Maintenance - Vehicles,"3,500",0,"1,271",0,0,"1,271"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138102 Human Resource Management Services,211103 Allowances,"3,450",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138102 Human Resource Management Services,"221011 Printing, Stationery, Photocopying and ","1,800",0,"2,000",0,0,"2,000"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138102 Human Resource Management Services,221014 Bank Charges and other Bank related costs,430,0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138102 Human Resource Management Services,222001 Telecommunications,400,0,0,0,0,0
